Date : 2023-07-12 21:20:50
Directory : \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0
Total : 61 files,  8802 codes, 849 comments, 1263 blanks, all 10914 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         51 |      7,558 |        849 |      1,188 |      9,595 |
| Go Checksum File |          2 |      1,015 |          0 |          2 |      1,017 |
| Markdown         |          3 |        142 |          0 |         59 |        201 |
| Go Module File   |          2 |         60 |          0 |          7 |         67 |
| Makefile         |          2 |         14 |          0 |          6 |         20 |
| YAML             |          1 |         13 |          0 |          1 |         14 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         61 |      8,802 |        849 |      1,263 |     10,914 |
| . (Files)                                                                                                               |          1 |          8 |          0 |          7 |         15 |
| dkg                                                                                                                     |         21 |      3,155 |        276 |        421 |      3,852 |
| dkg (Files)                                                                                                             |          4 |        853 |          8 |         65 |        926 |
| dkg\DKG                                                                                                                 |          1 |        308 |         35 |         52 |        395 |
| dkg\config                                                                                                              |          4 |        134 |         16 |         38 |        188 |
| dkg\crypto                                                                                                              |          3 |        656 |         88 |         79 |        823 |
| dkg\crypto\binaryquadraticform                                                                                          |          3 |        656 |         88 |         79 |        823 |
| dkg\msg                                                                                                                 |          8 |      1,193 |        128 |        183 |      1,504 |
| dkg\msg\errSetupMsgpb                                                                                                   |          2 |        288 |         32 |         44 |        364 |
| dkg\msg\groupMsgpb                                                                                                      |          2 |        338 |         32 |         51 |        421 |
| dkg\msg\rMsgpb                                                                                                          |          2 |        237 |         32 |         39 |        308 |
| dkg\msg\tcSetupMsgpb                                                                                                    |          2 |        330 |         32 |         49 |        411 |
| dkg\util                                                                                                                |          1 |         11 |          1 |          4 |         16 |
| node                                                                                                                    |         39 |      5,639 |        573 |        835 |      7,047 |
| node (Files)                                                                                                            |          9 |      1,587 |        118 |        222 |      1,927 |
| node\crypto                                                                                                             |          7 |        882 |         98 |        121 |      1,101 |
| node\crypto\binaryquadraticform                                                                                         |          3 |        656 |         88 |         79 |        823 |
| node\crypto\timedCommitment                                                                                             |          4 |        226 |         10 |         42 |        278 |
| node\msg                                                                                                                |         22 |      3,159 |        356 |        488 |      4,003 |
| node\msg\blankReplyMsgpb                                                                                                |          2 |        286 |         32 |         44 |        362 |
